nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Turkey,近世後期,1700–1799,female,5,5,11,0,0,
Turkey,近代後期,1850–1899,male,5,5,13,0,6,
Turkey,近代後期,1850–1899,female,5,5,15,0,6,
Turkey,現代前期,1900–1949,male,5,5,11,0,4,
Taiwan,近代後期,1850–1899,male,5,5,53,0,0,
Taiwan,近代後期,1850–1899,female,5,5,6,0,0,
Taiwan,現代前期,1900–1949,male,5,5,68,0,0,
Taiwan,現代前期,1900–1949,female,5,5,45,0,0,
Taiwan,現代中期,1950–1979,female,5,5,81,1,0,
Taiwan,現代後期,1980–1999,female,5,5,105,1,0,
Taiwan,現代最年少,2000–2009,male,5,5,29,0,0,
Taiwan,現代最年少,2000–2009,female,5,5,25,0,0,
Argentina,近世後期,1700–1799,male,5,5,100,0,0,
Argentina,近世後期,1700–1799,female,5,5,38,0,0,
Argentina,近代前期,1800–1849,female,5,5,31,0,0,
Argentina,近代後期,1850–1899,female,5,5,36,0,0,
Argentina,現代後期,1980–1999,female,5,5,30,0,0,
Argentina,現代最年少,2000–2009,female,5,5,99,0,0,
Iran,ルネサンス・初期近世,1400–1599,female,5,5,10,0,4,
Iran,近世前期,1600–1699,male,5,5,15,0,5,
Iran,近代前期,1800–1849,female,5,5,9,0,0,
Iran,近代後期,1850–1899,female,5,5,15,0,0,
Iran,現代前期,1900–1949,female,5,5,96,1,0,
Israel,古代後期,1–499,female,5,5,8,0,0,
Israel,中世後期,1000–1399,female,5,5,7,0,0,
Israel,近代後期,1850–1899,female,5,5,18,0,0,
Israel,現代前期,1900–1949,female,5,5,88,0,0,
Israel,現代後期,1980–1999,female,5,5,54,0,0,
Israel,現代最年少,2000–2009,female,5,5,76,0,0,
South Africa,近世後期,1700–1799,male,5,5,20,0,0,
South Africa,近代前期,1800–1849,male,5,5,67,0,0,
South Africa,近代前期,1800–1849,female,5,5,11,0,0,
South Africa,近代後期,1850–1899,male,5,5,40,0,2,
South Africa,近代後期,1850–1899,female,5,5,44,0,0,
South Africa,現代前期,1900–1949,male,5,5,8,0,2,
South Africa,現代前期,1900–1949,female,5,5,67,0,0,
South Africa,現代後期,1980–1999,male,5,5,84,0,0,
South Africa,現代最年少,2000–2009,male,5,5,44,0,0,
Hungary,中世後期,1000–1399,female,5,5,16,0,0,
Hungary,近世後期,1700–1799,female,5,5,9,0,0,
Hungary,近代前期,1800–1849,female,5,5,81,0,0,
Hungary,近代後期,1850–1899,female,5,5,5,0,0,
Austria,現代最年少,2000–2009,male,5,5,130,0,0,
Indonesia,現代後期,1980–1999,male,5,5,71,0,0,
Indonesia,現代最年少,2000–2009,male,5,5,57,0,0,
Indonesia,現代最年少,2000–2009,female,5,5,127,0,0,
Singapore,近代後期,1850–1899,male,5,5,12,0,0,
Singapore,近代後期,1850–1899,female,5,5,5,0,0,
Singapore,現代前期,1900–1949,male,5,5,44,0,0,
Singapore,現代前期,1900–1949,female,5,5,20,0,0,
Singapore,現代中期,1950–1979,male,5,5,68,0,0,
Singapore,現代中期,1950–1979,female,5,5,68,0,0,
Singapore,現代後期,1980–1999,male,5,5,106,0,0,
Singapore,現代後期,1980–1999,female,5,5,81,0,0,
Singapore,現代最年少,2000–2009,male,5,5,19,0,0,
Singapore,現代最年少,2000–2009,female,5,5,8,0,0,
