nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
South Korea,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,中世前期,500–999,female,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
South Korea,中世後期,1000–1399,female,5,0,9,0,6,候補はあったがダウンロード失敗が発生した
South Korea,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,近世前期,1600–1699,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
South Korea,近世後期,1700–1799,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
South Korea,近代前期,1800–1849,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
South Korea,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Turkey,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Turkey,古代前期,紀元前400–紀元前1,female,5,2,3,0,0,候補はあったが目標件数まで到達しなかった
Turkey,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Turkey,中世前期,500–999,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Turkey,中世後期,1000–1399,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Turkey,ルネサンス・初期近世,1400–1599,male,5,2,10,0,7,候補はあったがダウンロード失敗が発生した
Turkey,近世前期,1600–1699,male,5,4,13,0,8,候補はあったがダウンロード失敗が発生した
