nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Netherlands,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代最年少,2000–2009,female,5,5,129,0,0,
Sweden,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世後期,1000–1399,female,5,5,5,0,0,
Sweden,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,ルネサンス・初期近世,1400–1599,female,5,5,29,0,0,
Sweden,近世前期,1600–1699,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近世前期,1600–1699,female,5,5,36,0,5,
Sweden,近世後期,1700–1799,male,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近世後期,1700–1799,female,5,5,58,0,1,
Sweden,近代前期,1800–1849,male,5,2,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代前期,1800–1849,female,5,0,2,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代後期,1850–1899,male,5,5,11,0,2,
Sweden,近代後期,1850–1899,female,5,5,17,0,4,
Sweden,現代前期,1900–1949,male,5,5,8,0,1,
Sweden,現代前期,1900–1949,female,5,5,13,0,1,
Sweden,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代後期,1980–1999,female,5,5,35,0,0,
Sweden,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代最年少,2000–2009,female,5,5,92,0,0,
Italy,古代前期,紀元前400–紀元前1,male,5,5,9,0,3,
Italy,古代前期,紀元前400–紀元前1,female,5,5,10,0,4,
Italy,古代後期,1–499,male,5,3,9,0,3,候補はあったがダウンロード失敗が発生した
Italy,古代後期,1–499,female,5,5,7,0,1,
Italy,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Italy,中世後期,1000–1399,male,5,5,10,0,5,
Italy,中世後期,1000–1399,female,5,5,12,0,5,
Italy,ルネサンス・初期近世,1400–1599,male,5,5,22,0,15,
Italy,ルネサンス・初期近世,1400–1599,female,5,5,23,0,15,
Italy,近世前期,1600–1699,male,5,5,21,0,15,
Italy,近世前期,1600–1699,female,5,5,22,0,15,
Italy,近世後期,1700–1799,male,5,5,26,0,15,
Italy,近世後期,1700–1799,female,5,5,23,0,15,
Italy,近代前期,1800–1849,male,5,5,19,0,9,
Italy,近代前期,1800–1849,female,5,5,15,0,9,
Italy,近代後期,1850–1899,male,5,5,16,0,9,
Italy,近代後期,1850–1899,female,5,5,19,0,10,
Italy,現代前期,1900–1949,male,5,5,13,0,4,
Italy,現代前期,1900–1949,female,5,5,15,0,6,
Italy,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,近世前期,1600–1699,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世前期,1600–1699,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世後期,1700–1799,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世後期,1700–1799,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Canada,近代前期,1800–1849,male,5,5,6,0,0,
Canada,近代前期,1800–1849,female,5,1,5,0,0,候補はあったが目標件数まで到達しなかった
Canada,近代後期,1850–1899,male,5,5,7,0,0,
Canada,近代後期,1850–1899,female,5,5,6,0,0,
Canada,現代前期,1900–1949,male,5,5,7,0,0,
Canada,現代前期,1900–1949,female,5,5,8,0,0,
Canada,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,中世前期,500–999,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Spain,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Spain,中世後期,1000–1399,male,5,2,10,0,8,候補はあったがダウンロード失敗が発生した
Spain,中世後期,1000–1399,female,5,0,8,0,8,候補はあったがダウンロード失敗が発生した
Spain,ルネサンス・初期近世,1400–1599,male,5,4,19,0,15,候補はあったがダウンロード失敗が発生した
Spain,ルネサンス・初期近世,1400–1599,female,5,1,16,0,15,候補はあったがダウンロード失敗が発生した
Spain,近世前期,1600–1699,male,5,5,21,0,15,
Spain,近世前期,1600–1699,female,5,5,21,0,15,
Spain,近世後期,1700–1799,male,5,5,20,0,8,
Spain,近世後期,1700–1799,female,5,5,23,0,9,
Spain,近代前期,1800–1849,male,5,5,22,0,12,
Spain,近代前期,1800–1849,female,5,5,21,0,14,
Spain,近代後期,1850–1899,male,5,5,21,0,11,
Spain,近代後期,1850–1899,female,5,5,21,0,14,
Spain,現代前期,1900–1949,male,5,5,11,0,5,
Spain,現代前期,1900–1949,female,5,5,12,0,5,
Spain,現代中期,1950–1979,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代中期,1950–1979,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代後期,1980–1999,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代後期,1980–1999,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代最年少,2000–2009,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代最年少,2000–2009,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,古代前期,紀元前400–紀元前1,female,5,5,1,0,0,
Switzerland,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,古代後期,1–499,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
Switzerland,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,中世前期,500–999,female,5,3,5,0,0,候補はあったが目標件数まで到達しなかった
Switzerland,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,中世後期,1000–1399,female,5,5,7,0,0,
Switzerland,ルネサンス・初期近世,1400–1599,male,5,4,5,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,ルネサンス・初期近世,1400–1599,female,5,5,10,0,0,
Switzerland,近世前期,1600–1699,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,近世前期,1600–1699,female,5,5,9,0,0,
Switzerland,近世後期,1700–1799,male,5,2,4,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,近世後期,1700–1799,female,5,5,52,0,0,
Switzerland,近代前期,1800–1849,male,5,5,10,0,1,
Switzerland,近代前期,1800–1849,female,5,5,37,0,0,
Switzerland,近代後期,1850–1899,male,5,5,16,0,3,
Switzerland,近代後期,1850–1899,female,5,3,12,0,3,候補はあったがダウンロード失敗が発生した
Switzerland,現代前期,1900–1949,male,5,5,14,0,0,
Switzerland,現代前期,1900–1949,female,5,5,15,0,0,
Switzerland,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代後期,1980–1999,female,5,5,35,0,0,
Switzerland,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代最年少,2000–2009,female,5,5,95,0,0,
Russia,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,近世前期,1600–1699,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Russia,近世前期,1600–1699,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Russia,近世後期,1700–1799,male,5,5,14,0,8,
Russia,近世後期,1700–1799,female,5,5,16,0,10,
Russia,近代前期,1800–1849,male,5,5,13,0,6,
Russia,近代前期,1800–1849,female,5,5,17,0,6,
Russia,近代後期,1850–1899,male,5,5,12,0,4,
Russia,近代後期,1850–1899,female,5,5,17,0,4,
Russia,現代前期,1900–1949,male,5,5,7,0,1,
Russia,現代前期,1900–1949,female,5,5,15,0,1,
